x;y;species;natural;denotation;age;family;genus;leaf_type;health;object:city;relation:site
-75,5769737;6,25999308;Schinus terebinthifolius;tree;university;mature;Anacardiaceae;Schinus; ; ;Medellin;Volador
-75,57677986;6,25993078;Malpighia glabra;tree;university;mature;Malpighiaceae;Malpighia; ; ;Medellin;Volador
-75,57545945;6,26026622;Flacourtia indica;tree;university;mature;Salicaceae;Flacourtia; ; ;Medellin;Volador
-75,57534252;6,2601072;Leucaena leucocephala;tree;university;mature;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57548352;6,26026615;Flacourtia indica;tree;university;mature;Salicaceae;Flacourtia; ; ;Medellin;Volador
-75,57653424;6,26006661;Jatropha sp.;tree;university;mature;Euphorbiaceae;Jatropha; ; ;Medellin;Volador
-75,57579108;6,25991841;Spathodea campanulata;tree;university;mature;Bignoniaceae;Spathodea; ; ;Medellin;Volador
-75,57576386;6,25973308;Lauraceae;tree;university;mature;Lauraceae; ; ; ;Medellin;Volador
-75,57591695;6,26561801;Erythrina fusca;tree;university;mature;Fabaceae;Erythrina; ; ;Medellin;Volador
-75,57602274;6,26555649;Erythrina fusca;tree;university;mature;Fabaceae;Erythrina; ; ;Medellin;Volador
-75,57612343;6,26561851;Erythrina fusca;tree;university;mature;Fabaceae;Erythrina; ; ;Medellin;Volador
-75,57629645;6,26558076;Flacourtia indica;tree;university;mature;Salicaceae;Flacourtia; ; ;Medellin;Volador
-75,57622299;6,26566961;Erythrina fusca;tree;university;mature;Fabaceae;Erythrina; ; ;Medellin;Volador
-75,57618027;6,26563147;Terminalia ivorensis;tree;university;mature;Combretaceae;Terminalia; ; ;Medellin;Volador
-75,57745005;6,26037092;Leucaena leucocephala;tree;university;mature;Fabaceae;Leucaena; ; ;Medellin;Volador
-75,57713994;6,26028696;Schinus terebinthifolius;tree;university;mature;Anacardiaceae;Schinus; ; ;Medellin;Volador
-75,57742649;6,26037047;Ficus benjamina;tree;university;mature;Moraceae;Ficus; ; ;Medellin;Volador
-75,5773977;6,26037003;Malvaceae;tree;university;mature;Malvaceae; ; ; ;Medellin;Volador
-75,57737288;6,26010664;Bambusa sp.;tree;university;mature;Poaceae;Bambusa; ; ;Medellin;Volador
